127.0.0.1 - - [11/Apr/2022:20:51:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:51:53 +0900] "GET /JSPBook/web_shopping/products.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:51:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:52:34 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:53:08 +0900] "GET /JSPBook/web_shopping/products.jsp HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:00 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:08 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:16 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:34 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:51 +0900] "GET /JSPBook/web_shopping/products.jsp HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:54:59 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:55:09 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:55:21 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:55:27 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:55:59 +0900] "GET /JSPBook/BookMarket/menu.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:56:05 +0900] "GET /JSPBook/web_shopping/products.jsp HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:56:12 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [11/Apr/2022:20:59:54 +0900] "GET /JSPBook/web_shopping/products.jsp HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [11/Apr/2022:21:00:02 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [11/Apr/2022:21:00:09 +0900] "GET /JSPBook/BookMarket/bookmarket.jsp HTTP/1.1" 200 3286
